mse_wav,mse_wav_q0,mse_wav_q1,mse_wav_q2,mse_wav_q3,samples,step
0.0018359450617572307,0.005137633187197415,0.00831624988021086,0.009974716600544494,0.008367377484682947,101,100
0.0014083833084441726,0.0030515317604030393,0.004740811052865219,0.005108240080465163,0.005401778045449067,201,200
0.0012923479842720548,0.0033658367286149697,0.004423163821532704,0.003931925843723795,0.004220889785626372,301,300
0.0013042199175106362,0.0037792930155634307,0.004912383099696755,0.004369945831554517,0.00330199242529014,401,400
0.0012105485668871554,0.0025002684806867573,0.0035463071404153424,0.0033495909240292875,0.00427620405725275,501,500
0.0011614738765638323,0.003515948706384128,0.0031758088709624563,0.0031997854741097525,0.004138325656337352,601,600
0.0011682553793070833,0.0032433901051990687,0.00361527016918574,0.0031426965433638556,0.0038263185905586736,701,700
0.0010943702846998354,0.0028039340550700827,0.003118529654878737,0.0037077168069247685,0.003634400476046183,801,800
0.0011513028928311533,0.0037705014141178445,0.0034410739846696915,0.003157874938788945,0.002808191105723382,901,900
0.0011165133389295073,0.002911113790885013,0.0028478659175258754,0.0027049011717151326,0.004059311903633728,1001,1000
